,features,counts
0,",",167.94987090876654
1,(,137.64369252010277
2,),137.61691376454738
3,:,80.23204402985455
4,#,74.29552778612211
5,=,58.14310987098193
6,'',50.02270997140589
7,the,47.88155853771948
8,',45.659019168830234
9,],42.39251469849771
10,[,42.37781373912599
11,--,39.063626265004025
12,.,38.85561906657817
13,``,38.258142350719844
14,if,24.22336139080495
15,of,22.756201881617574
16,x,22.64855013241193
17,>,22.141584642957245
18,to,18.785759391626353
19,in,18.511778785140823
20,import,18.283799466835923
21,for,17.84960167803927
22,is,17.65887015991552
23,a,16.343693003855343
24,1,15.99563117104341
25,from,15.780749047451048
26,self,15.668991676776853
27,`,15.265701366430575
28,return,14.694995625903566
29,def,14.66684063743805
30,-,14.022661716543375
31,0,13.635494302182504
32,and,13.385762077577349
33,y,13.029220354051624
34,%,12.839972849035897
35,none,12.790546626472718
36,type,11.163203964861356
37,not,10.506676929682254
38,n_samples,9.936020830058068
39,data,9.463644636772543
40,be,8.09706331708105
41,as,8.068008452804673
42,or,8.030808212644965
43,},7.939587427252681
44,{,7.86772930651996
45,this,7.693804658354661
46,shape,7.642737083248285
47,str,7.606061492452477
48,n_features,7.590165268298219
49,2,7.5832783721004065
50,==,7.366985188943615
51,i,7.366783067267449
52,name,7.223923359199242
53,with,7.221198589059108
54,optional,7.092423107966206
55,print,6.932997095569333
56,+,6.592061331222721
57,*,6.495177336214372
58,number,6.466913936719454
59,else,6.238753234587589
60,t,6.233269563076744
61,array,6.222233735495994
62,class,6.196006129425007
63,that,6.0834201011707085
64,<,5.91285342770485
65,int,5.711260717960255
66,list,5.638730433029781
67,s,5.445161403409439
68,k,5.402274320516013
69,by,5.394991598124746
70,we,5.383678361415663
71,on,5.365082963224307
72,are,5.233906785331343
73,parameters,5.160710507801113
74,n_components,4.921719387930367
75,dataset,4.8775576451092775
76,matrix,4.777685418529333
77,estimator,4.722491407150053
78,set,4.715801425736574
79,3,4.712538890982802
80,features,4.680315914349468
81,each,4.631889615038436
82,samples,4.541966606498635
83,it,4.536343881345605
84,isinstance,4.5130622591054355
85,pca,4.511158169303848
86,plot,4.498461540343119
87,len,4.443706627762816
88,true,4.400252110195318
89,used,4.37690281186037
90,an,4.366524763538836
91,raise,4.337402185740998
92,array-like,4.296182226873936
93,model,4.267305760412915
94,kernel,4.089380063138259
95,default,4.085320031951855
96,false,4.056240905111703
97,will,4.033646968190135
98,assert,3.986527987999917
99,x_test,3.9371071674583042
100,can,3.903543786537157
101,/,3.7981330392128085
102,use,3.7906883499756896
103,feature,3.7721244600351205
104,instance,3.6966997428132693
105,-1,3.6824341927321256
106,returns,3.6673341094822884
107,training,3.6430054007458423
108,values,3.6106917213476986
109,fit,3.5909367127578844
110,test,3.5663277872589685
111,function,3.565563727541305
112,random,3.5512571362814898
113,value,3.5428693212367266
114,decision,3.5040159747633046
115,labels,3.436585257085953
116,@,3.4298254759514664
117,time,3.41417633629947
118,score,3.4126629323471933
119,path,3.3800771533807907
120,x_train,3.3490291451218694
121,float,3.2819240982196334
122,using,3.2512071570460477
123,sparse,3.2408459148414743
124,module,3.233163262976717
125,5,3.196041823114806
126,xx,3.184992173629755
127,valueerror,3.1614390924216944
128,random_state,3.1605299229286605
129,f,3.143357096522083
130,file,3.1210828080770714
131,only,3.1056441575369402
132,any,3.088237508198792
133,z,3.0653346133225754
134,tree,3.0592223925685884
135,...,3.040136552208236
136,n,3.0352903557829722
137,all,3.0245682734054404
138,o,3.018481148607329
139,when,2.9948676937012744
140,sample_weight,2.9747549309632797
141,d,2.957442995950575
142,c,2.9384050500023577
143,numpy,2.9331953468975214
144,classes,2.910265319412924
145,more,2.9008330599529777
146,algorithm,2.8686582201678466
147,which,2.859640640805645
148,plt.title,2.8543138914667328
149,bool,2.8540445621417203
150,context,2.8419604870614226
151,target,2.8342780887053434
152,parameter,2.7960493164547975
153,yy,2.789427419952878
154,node,2.7877517644327696
155,example,2.783707138363668
156,+=,2.7423094931052665
157,y_train,2.730739606286
158,4,2.7176915803434207
159,method,2.7145973386420947
160,weights,2.7113921291769287
161,classifier,2.7093369047624343
162,dict,2.7050139962417616
163,v,2.690154273643131
164,regression,2.6890458713186645
165,elif,2.671794026679554
166,sample,2.6470185870896312
167,see,2.6203561858906386
168,w,2.5923926111489655
169,object,2.5752578889085016
170,plt.scatter,2.571355700831945
171,y_test,2.565985938147268
172,j,2.565475536428809
173,plt.show,2.5441835203486676
174,!,2.515647048367084
175,image,2.5073608804997654
176,plt,2.50609293338346
177,plt.plot,2.485040768871725
178,have,2.4838138435412214
179,__doc__,2.4467401424632693
180,covariance,2.4455136779141484
181,at,2.445191050824303
182,callable,2.443663826876339
183,y_pred,2.4383951719184944
184,..,2.435631072459984
185,matplotlib.pyplot,2.4226756189575767
186,range,2.416715317701914
187,should,2.4163958826464733
188,points,2.415590068997324
189,tuple,2.4100642288592287
190,n_classes,2.383538715833313
191,args,2.3712593506861195
192,scores,2.363787289389939
193,loss,2.359077320581351
194,clustering,2.3564773061075273
195,classification,2.3554883251348877
196,plt.figure,2.3289668747113
197,10,2.3270860298479144
198,error,2.3247261532716217
199,input,2.3239547039756676
200,label,2.3188470862192423
201,p,2.2851018340796134
202,line,2.2756466405129023
203,indices,2.2645923353994495
204,clf,2.26350412086683
205,np,2.2581862592378092
206,result,2.2483108947055914
207,x.shape,2.241561340299649
208,clusters,2.238872097018199
209,first,2.22167204606835
210,_,2.2054809416277914
211,pass,2.205001198041359
212,types,2.2034000406706813
213,obj,2.198957788763137
214,components,2.1916996941769535
215,n't,2.1892376673958087
216,e,2.1858387518776676
217,linear,2.1801510283464256
218,datasets,2.173546652626989
219,;,2.166634056147248
220,$,2.1661638986592293
221,r,2.142324731362674
222,neighbors,2.1387421676684624
223,compute,2.120391549944389
224,transform,2.1060954639023817
225,info,2.10170331418926
226,plt.subplot,2.0958200359398336
227,sklearn,2.0919941085457037
228,one,2.0818860650408397
229,pipeline,2.0732811336423502
230,options,2.069711611555574
231,svm,2.0696361172181623
232,key,2.0680275560470616
233,also,2.0649717675883954
234,must,2.0630299703608515
235,names,2.048384393447292
236,b,2.043505248698555
237,final,2.041707531014076
238,has,2.0297978827981082
239,t0,2.013567143408018
240,item,2.00714419980689
241,cluster,2.000800679087623
242,.format,1.9971273706689097
243,metric,1.997050099492764
244,graph,1.990209142799465
245,best,1.986828527961617
246,n_clusters,1.97876716585878
247,try,1.9748570406521693
248,random_state=0,1.9682001351502356
249,estimators,1.9661772300435099
250,but,1.9429678004263322
251,some,1.9312751038780829
252,than,1.9284943277338533
253,check,1.9210456434491792
254,predict,1.919888395967679
255,ax,1.917090215977872
256,generator,1.9143643918061684
257,do,1.9132227891225622
258,given,1.9087271451543923
259,'s,1.907598441131389
260,license,1.906567322043258
261,size,1.904346414778394
262,self.assertequal,1.9011960885164991
263,results,1.8992490978524676
264,string,1.896942056347798
265,python,1.8879903016578314
266,np.dot,1.8627915148131298
267,np.array,1.8611700519708276
268,bsd,1.8570644868898947
269,label=,1.850534523868635
270,iris,1.8463637172343326
271,h,1.8395907248362875
272,base,1.8323371265317294
273,alpha,1.830537881373416
274,trees,1.8222177036527347
275,analysis,1.8139006601637189
276,url,1.8119759532954163
277,except,1.80704356668263
278,length,1.7981976621025109
279,shrinkage,1.796615564816844
280,color,1.7911651998513276
281,clause,1.7826991522554783
282,learning,1.7754882162188272
283,typeinfo,1.7703863591107265
284,super,1.7560517547617625
285,np.arange,1.7513626130972664
286,np.linspace,1.7398811314890392
287,then,1.7359497049023789
288,two,1.7297057982682875
289,ref,1.7268635370070795
290,different,1.7239825770295552
291,these,1.721916367726863
292,errors,1.7080659933715014
293,check_array,1.706926501136466
294,between,1.7068508651542194
295,new,1.7035083168305547
296,grid,1.6957518632693798
297,index,1.6949026452586642
298,randomstate,1.675833605673883
299,anytype,1.6755703331048477
300,where,1.6669902268840968
301,train,1.6648168899283649
302,expr,1.656184073119656
303,load,1.6465777987659864
304,svc,1.6430285544715677
305,no,1.64213632010464
306,figsize=,1.6407645530066608
307,space,1.6378133144090572
